uf_sigla,cod_regsaud,regiao_saude_pad,ano,mes,quantidade
PE,26001,AFOGADOS DA INGAZEIRA,2022,06,14
SE,28004,LAGARTO,2022,06,75
BA,29006,FEIRA DE SANTANA,2022,06,450
PE,26011,SALGUEIRO,2022,06,66
SP,35162,ITAPEVA,2022,06,87
SC,42014,EXTREMO SUL CATARINENSE,2022,06,64
PB,25001,1ª REGIAO MATA ATLANTICA,2022,06,332
PA,15013,MARAJO I,2022,06,34
RR,14002,SUL,2022,06,28
PE,26003,CARUARU,2022,06,145
ES,32004,SUL,2022,06,12
SP,35115,PONTAL DO PARANAPANEMA,2022,06,18
MG,31013,BARBACENA,2022,06,20
SP,35023,CONSORCIOS DO DRS II,2022,06,58
SP,35103,PIRACICABA,2022,06,145
RO,11006,CONE SUL,2022,06,41
RS,43009,REGIAO 09,2022,06,1
CE,23011,11ª REGIAO SOBRAL,2022,06,4
MG,31035,CORONEL FABRICIANO/TIMOTEO,2022,06,27
MA,21010,PEDREIRAS,2022,06,42
MA,21002,BACABAL,2022,06,5
PA,15008,METROPOLITANA III,2022,06,152
AM,13001,"MANAUS, ENTORNO E ALTO RIO NEGRO",2022,06,124
SP,35064,JAU,2022,06,56
PR,41004,4ª RS IRATI,2022,06,3
RJ,33004,MEDIO PARAIBA,2022,06,130
RS,43005,REGIAO 05,2022,06,37
CE,23022,22ª REGIAO CASCAVEL,2022,06,69
PB,25008,8ª REGIAO,2022,06,4
PR,41011,11ª RS CAMPO MOURAO,2022,06,20
SC,42011,NORDESTE,2022,06,266
MA,21005,CAXIAS,2022,06,101
GO,52015,SUDOESTE I,2022,06,123
MG,31022,OURO PRETO,2022,06,11
AL,27005,5ª REGIAO DE SAUDE,2022,06,11
GO,52014,SERRA DA MESA,2022,06,31
RS,43026,REGIAO 26,2022,06,25
AL,27006,6ª REGIAO DE SAUDE,2022,06,42
SP,35091,ADAMANTINA,2022,06,51
MT,51015,VALE DO PEIXOTO,2022,06,18
BA,29008,IBOTIRAMA,2022,06,10
AM,13005,BAIXO AMAZONAS,2022,06,95
RS,43027,REGIAO 27,2022,06,48
GO,52016,SUDOESTE II,2022,06,90
BA,29012,ITABUNA,2022,06,107
PE,26004,GARANHUNS,2022,06,138
GO,52013,SAO PATRICIO I,2022,06,51
SE,28005,NOSSA SENHORA DA GLORIA,2022,06,3
MA,21011,PINHEIRO,2022,06,121
MG,31072,UBERABA,2022,06,139
MT,51012,SUDOESTE MATOGROSSENSE,2022,06,58
MG,31090,LIMA DUARTE,2022,06,3
CE,23014,14ª REGIAO TAUA,2022,06,3
SP,35131,HORIZONTE VERDE,2022,06,89
MG,31006,POCOS DE CALDAS,2022,06,42
BA,29022,SANTO ANTONIO DE JESUS,2022,06,73
SP,35155,SAO JOSE DO RIO PRETO,2022,06,20
PB,25003,3ª REGIAO,2022,06,58
MG,31084,MONTES CLAROS,2022,06,27
TO,17004,CERRADO TOCANTINS ARAGUAIA,2022,06,84
RS,43030,REGIAO 30,2022,06,25
CE,23009,9ª REGIAO RUSSAS,2022,06,45
ES,32002,METROPOLITANA,2022,06,51
SP,35015,GRANDE ABC,2022,06,630
PB,25006,6ª REGIAO,2022,06,93
CE,23015,15ª REGIAO CRATEUS,2022,06,19
PB,25002,2ª REGIAO,2022,06,99
MG,31024,SETE LAGOAS,2022,06,12
SP,35152,SANTA FE DO SUL,2022,06,11
GO,52007,NORDESTE II,2022,06,35
MG,31068,PEDRA AZUL,2022,06,2
RO,11005,ZONA DA MATA,2022,06,3
PR,41006,6ª RS UNIAO DA VITORIA,2022,06,64
SP,35011,ALTO DO TIETE,2022,06,583
BA,29005,CRUZ DAS ALMAS,2022,06,103
CE,23019,19ª REGIAO BREJO SANTO,2022,06,21
PR,41005,5ª RS GUARAPUAVA,2022,06,96
AL,27008,8ª REGIAO DE SAUDE,2022,06,2
AC,12003,JURUA E TARAUACA/ENVIRA,2022,06,50
MS,50001,CAMPO GRANDE,2022,06,1
MG,31048,UBA,2022,06,50
RN,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,2022,06,1
SP,35016,SAO PAULO,2022,06,3400
SP,35154,FERNANDOPOLIS,2022,06,21
MG,31037,IPATINGA,2022,06,101
MT,51001,ALTO TAPAJOS,2022,06,9
SP,35114,EXTREMO OESTE PAULISTA,2022,06,15
TO,17007,CANTAO,2022,06,27
GO,52018,SAO PATRICIO II,2022,06,67
SP,35062,BAURU,2022,06,16
CE,23017,17ª REGIAO ICO,2022,06,17
RR,14001,CENTRO NORTE,2022,06,198
MA,21018,VIANA,2022,06,56
MG,31083,BOCAIUVA,2022,06,16
PR,41013,13ª RS CIANORTE,2022,06,6
PB,25013,13ª REGIAO,2022,06,3
BA,29013,ITAPETINGA,2022,06,19
SP,35173,LITORAL NORTE,2022,06,78
RS,43029,REGIAO 29,2022,06,38
PE,26010,RECIFE,2022,06,72
MT,51007,MEDIO NORTE MATOGROSSENSE,2022,06,50
PR,41020,20ª RS TOLEDO,2022,06,48
RS,43022,REGIAO 22,2022,06,23
PA,15012,XINGU,2022,06,140
PA,15014,MARAJO II,2022,06,44
GO,52010,OESTE II,2022,06,23
RS,43008,REGIAO 08,2022,06,104
PE,26012,SERRA TALHADA,2022,06,64
CE,23004,4ª REGIAO BATURITE,2022,06,11
MS,50004,TRES LAGOAS,2022,06,6
SP,35121,VALE DO RIBEIRA,2022,06,40
BA,29003,BRUMADO,2022,06,15
PR,41012,12ª RS UMUARAMA,2022,06,95
SP,35157,VOTUPORANGA,2022,06,47
BA,29011,ITABERABA,2022,06,12
CE,23012,12ª REGIAO ACARAU,2022,06,12
MG,31032,PARA DE MINAS,2022,06,56
PA,15011,TOCANTINS,2022,06,118
RO,11007,VALE DO GUAPORE,2022,06,19
SP,35065,LINS,2022,06,33
SE,28002,ESTANCIA,2022,06,51
PA,15010,TAPAJOS,2022,06,74
MG,31036,GOVERNADOR VALADARES,2022,06,1
MA,21019,ZE DOCA,2022,06,9
PA,15003,CARAJAS,2022,06,225
MG,31008,SAO LOURENCO,2022,06,55
BA,29021,SANTA MARIA DA VITORIA,2022,06,41
SP,35113,ALTO CAPIVARI,2022,06,15
RS,43016,REGIAO 16,2022,06,2
MT,51004,CENTRO NORTE,2022,06,7
SP,35061,VALE DO JURUMIRIM,2022,06,42
BA,29010,IRECE,2022,06,68
SP,35092,ASSIS,2022,06,30
MG,31004,LAVRAS,2022,06,5
RS,43020,REGIAO 20,2022,06,23
SC,42008,MEIO OESTE,2022,06,104
TO,17005,ILHA DO BANANAL,2022,06,55
SP,35012,FRANCO DA ROCHA,2022,06,174
BA,29023,SEABRA,2022,06,18
SP,35041,BAIXADA SANTISTA,2022,06,515
PA,15007,METROPOLITANA II,2022,06,86
RJ,33003,CENTRO-SUL,2022,06,80
RS,43004,REGIAO 04,2022,06,60
MG,31089,CAMPO BELO,2022,06,1
BA,29027,VALENCA,2022,06,22
RS,43017,REGIAO 17,2022,06,141
RS,43028,REGIAO 28,2022,06,63
BA,29024,SENHOR DO BONFIM,2022,06,73
CE,23013,13ª REGIAO TIANGUA,2022,06,9
RN,24005,5ª REGIAO DE SAUDE - SANTA CRUZ,2022,06,1
AM,13007,REGIONAL JURUA,2022,06,51
SP,35073,JUNDIAI,2022,06,256
RS,43006,REGIAO 06 - VALE DO PARANHANA E COSTA SERR,2022,06,31
MG,31073,ITUIUTABA,2022,06,4
MA,21010,PEDREIRAS,2022,05,234
MG,31076,MANGA,2022,05,70
GO,52015,SUDOESTE I,2022,05,504
SP,35073,JUNDIAI,2022,05,925
PR,41018,18ª RS CORNELIO PROCOPIO,2022,05,144
RR,14002,SUL,2022,05,105
RS,43014,REGIAO 14,2022,05,183
RJ,33005,METROPOLITANA I,2022,05,7611
RO,11006,CONE SUL,2022,05,197
MT,51013,SUL MATOGROSSENSE,2022,05,777
RS,43004,REGIAO 04,2022,05,155
CE,23008,8ª REGIAO QUIXADA,2022,05,333
SP,35151,CATANDUVA,2022,05,270
GO,52009,OESTE I,2022,05,103
SE,28007,PROPRIA,2022,05,84
CE,23002,2ª REGIAO CAUCAIA,2022,05,608
MA,21001,ACAILANDIA,2022,05,301
PI,22011,VALE DOS RIOS PIAUI E ITAUEIRAS,2022,05,171
MA,21008,IMPERATRIZ,2022,05,680
MT,51007,MEDIO NORTE MATOGROSSENSE,2022,05,280
MG,31045,MURIAE,2022,05,103
MA,21002,BACABAL,2022,05,265
GO,52008,NORTE,2022,05,100
SC,42017,VALE DO ITAPOCU,2022,05,143
BA,29027,VALENCA,2022,05,218
SP,35011,ALTO DO TIETE,2022,05,3414
MG,31018,CONTAGEM,2022,05,506
PR,41010,10ª RS CASCAVEL,2022,05,708
RS,43024,REGIAO 24,2022,05,114
RS,43028,REGIAO 28,2022,05,294
TO,17003,SUDESTE,2022,05,100
AM,13004,MEDIO AMAZONAS,2022,05,220
MG,31050,CORACAO DE JESUS,2022,05,36
PR,41004,4ª RS IRATI,2022,05,202
SE,28001,ARACAJU,2022,05,203
PA,15011,TOCANTINS,2022,05,741
SP,35033,NORTE DO DRS III,2022,05,118
SP,35113,ALTO CAPIVARI,2022,05,61
CE,23004,4ª REGIAO BATURITE,2022,05,140
GO,52018,SAO PATRICIO II,2022,05,220
MG,31093,PIUMHI,2022,05,70
BA,29021,SANTA MARIA DA VITORIA,2022,05,211
SP,35152,SANTA FE DO SUL,2022,05,60
GO,52007,NORDESTE II,2022,05,117
SP,35091,ADAMANTINA,2022,05,112
MG,31071,FRUTAL / ITURAMA,2022,05,171
PE,26010,RECIFE,2022,05,1641
CE,23015,15ª REGIAO CRATEUS,2022,05,312
SP,35072,REGIAO METROPOLITANA DE CAMPINAS,2022,05,3219
PR,41017,17ª RS LONDRINA,2022,05,937
AL,27002,2ª REGIAO DE SAUDE,2022,05,105
RJ,33001,BAIA DA ILHA GRANDE,2022,05,225
PB,25006,6ª REGIAO,2022,05,232
CE,23020,20ª REGIAO CRATO,2022,05,271
MT,51004,CENTRO NORTE,2022,05,67
SP,35065,LINS,2022,05,102
RS,43016,REGIAO 16,2022,05,97
PR,41013,13ª RS CIANORTE,2022,05,176
RN,24005,5ª REGIAO DE SAUDE - SANTA CRUZ,2022,05,174
MG,31051,FRANCISCO SA,2022,05,64
SE,28005,NOSSA SENHORA DA GLORIA,2022,05,121
MG,31013,BARBACENA,2022,05,173
MA,21009,ITAPECURU MIRIM,2022,05,382
AL,27010,10ª REGIAO DE SAUDE,2022,05,174
CE,23019,19ª REGIAO BREJO SANTO,2022,05,228
RO,11007,VALE DO GUAPORE,2022,05,52
PB,25012,12ª REGIAO,2022,05,136
SP,35142,MANTIQUEIRA,2022,05,270
RJ,33002,BAIXADA LITORANEA,2022,05,722
BA,29022,SANTO ANTONIO DE JESUS,2022,05,379
MG,31084,MONTES CLAROS,2022,05,462
MT,51003,ARAGUAIA XINGU,2022,05,120
SC,42005,FOZ DO RIO ITAJAI,2022,05,641
SC,42011,NORDESTE,2022,05,855
RS,43020,REGIAO 20,2022,05,116
GO,52010,OESTE II,2022,05,114
SP,35022,LAGOS DO DRS II,2022,05,67
MG,31028,BOM DESPACHO,2022,05,107
MG,31095,SERRO,2022,05,53
MG,31078,CONGONHAS,2022,05,115
MG,31087,LAGOA DA PRATA/STO ANT DO MONTE,2022,05,106
MG,31086,DIVINOPOLIS,2022,05,351
SP,35062,BAURU,2022,05,157
RS,43021,REGIAO 21,2022,05,548
CE,23022,22ª REGIAO CASCAVEL,2022,05,358
RS,43023,REGIAO 23,2022,05,555
PB,25011,11ª REGIAO,2022,05,98
RJ,33003,CENTRO-SUL,2022,05,325
MG,31008,SAO LOURENCO,2022,05,209
BA,29028,VITORIA DA CONQUISTA,2022,05,705
RO,11005,ZONA DA MATA,2022,05,48
SP,35074,CIRCUITO DAS AGUAS,2022,05,110
MG,31075,UBERLANDIA / ARAGUARI,2022,05,774
MG,31067,PADRE PARAISO,2022,05,1
SP,35041,BAIXADA SANTISTA,2022,05,1837
BA,29011,ITABERABA,2022,05,226
SP,35163,SOROCABA,2022,05,1893
RN,24008,8ª REGIAO DE SAUDE - ACU,2022,05,4
MG,31022,OURO PRETO,2022,05,181
RR,14001,CENTRO NORTE,2022,05,765
RS,43003,REGIAO 03,2022,05,336
SP,35173,LITORAL NORTE,2022,05,389
SP,35093,MARILIA,2022,05,380
RS,43022,REGIAO 22,2022,05,167
BA,29015,JEQUIE,2022,05,573
MG,31001,ALFENAS / MACHADO,2022,05,193
BA,29006,FEIRA DE SANTANA,2022,05,1259
RS,43008,REGIAO 08,2022,05,638
SC,42003,XANXERE,2022,05,267
RS,43007,REGIAO 07,2022,05,693
RN,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,2022,05,182
RO,11003,CENTRAL,2022,05,443
AL,27006,6ª REGIAO DE SAUDE,2022,05,139
MS,50004,TRES LAGOAS,2022,05,25
SP,35013,MANANCIAIS,2022,05,1182
PB,25010,10ª REGIAO,2022,05,2
PB,25016,16ª REGIAO,2022,05,565
PI,22002,CHAPADA DAS MANGABEIRAS,2022,05,110
SP,35081,TRES COLINAS,2022,05,435
SP,35052,SUL - BARRETOS,2022,05,51
MT,51002,BAIXADA CUIABANA,2022,05,791
MA,21015,SAO JOAO DOS PATOS,2022,05,51
SC,42006,MEDIO VALE DO ITAJAI,2022,05,921
PI,22001,CARNAUBAIS,2022,05,156
GO,52016,SUDOESTE II,2022,05,267
AL,27009,9ª REGIAO DE SAUDE,2022,05,57
SP,35063,POLO CUESTA,2022,05,302
AC,12001,ALTO ACRE,2022,05,80
BA,29001,ALAGOINHAS,2022,05,327
MG,31059,MANHUACU,2022,05,434
SP,35031,CENTRAL DO DRS III,2022,05,303
CE,23013,13ª REGIAO TIANGUA,2022,05,237
SC,42016,LAGUNA,2022,05,99
SP,35094,OURINHOS,2022,05,243
GO,52017,SUL,2022,05,266
MA,21017,TIMON,2022,05,74
MT,51011,OESTE MATOGROSSENSE,2022,05,99
PR,41007,7ª RS PATO BRANCO,2022,05,364
BA,29002,BARREIRAS,2022,05,624
PR,41009,9ª RS FOZ DO IGUACU,2022,05,531
SP,35092,ASSIS,2022,05,199
MT,51015,VALE DO PEIXOTO,2022,05,149
PR,41015,15ª RS MARINGA,2022,05,871
PI,22008,VALE DO CANINDE,2022,05,37
MA,21012,PRESIDENTE DUTRA,2022,05,268
MG,31026,DIAMANTINA,2022,05,116
RS,43002,REGIAO 02,2022,05,96
SP,35082,ALTA ANHANGUERA,2022,05,132
SP,35162,ITAPEVA,2022,05,312
SP,35114,EXTREMO OESTE PAULISTA,2022,05,57
TO,17006,CAPIM DOURADO,2022,05,517
