"","uf","ibge","municipio","cnes","estabelecimento","pop_vinc","bnf_pbf","perc_benef_pbf"
"36","AC","120033","MÂNCIO LIMA",2002272,"UNIDADE S FAMILIA DR CERQUEIRA",2963,1097,0.37
"37","AC","120033","MÂNCIO LIMA",2000091,"U S F JOSE ARAUJO",2358,942,0.4
"38","AC","120033","MÂNCIO LIMA",6568629,"U S F SOFIA ALMEIDA BARRETO",3314,1311,0.4
"39","AC","120034","MANOEL URBANO",9846433,"UNIDADE BASICA DE SAUDE MILTON AUGUSTO DA SILVA",3120,1111,0.36
"40","AC","120035","MARECHAL THAUMATURGO",6490689,"ESF RIBEIRINHA MOVEL",3214,1281,0.4
"41","AC","120039","PORTO WALTER",2001748,"UBS ESTEPHAN BARBARY",4416,1619,0.37
"42","AC","120040","RIO BRANCO",2001306,"URAP DRA CLAUDIA VITORINO",2210,456,0.21
"43","AC","120040","RIO BRANCO",2000830,"URAP AUGUSTO HIDALGO DE LIMA",6883,1271,0.18
"44","AC","120040","RIO BRANCO",2000512,"URAP EDUARDO ASSMAR",3030,445,0.15
"45","AC","120040","RIO BRANCO",7120729,"USF TEREZA ROSAS",3925,904,0.23
"46","AC","120040","RIO BRANCO",2001845,"USF BELO JARDIM I",3402,695,0.2
"47","AC","120040","RIO BRANCO",9908382,"USF AEROPORTO VELHO",2415,472,0.2
"48","AC","120040","RIO BRANCO",2003287,"USF MARIANO GONZAGA I",4976,1093,0.22
"49","AC","120040","RIO BRANCO",2000458,"USF MARIA DE FATIMA I",4905,1004,0.2
"50","AC","120040","RIO BRANCO",9463208,"USF FRANCISCO CARNEIRO TIO CHICO",3558,1148,0.32
"51","AC","120042","RODRIGUES ALVES",783722,"UNIDADE BASICA JOSE SOUZA CORREIA",145,76,0.52
"52","AC","120042","RODRIGUES ALVES",7448627,"UNIDADE BASICA JOSINA DE OLIVEIRA MOURA",1359,798,0.59
"53","AC","120045","SENADOR GUIOMARD",843229,"UNIDADE DE SAUDE PRISIONAL QUINARI",350,52,0.15
"54","AC","120045","SENADOR GUIOMARD",9296042,"UNIDADE BASICA DE SAUDE FRANCISCO LUIS DE FRANCA",1390,377,0.27
"55","AC","120050","SENA MADUREIRA",3541592,"UNIDADE BASICA DE SAUDE MARIA DAS DORES DE PAULA",3111,788,0.25
"56","AC","120060","TARAUACÁ",2000164,"UNIDADE DE SAUDE DA FAMILIA MARIA DA LUZ",5051,2428,0.48
"57","AC","120060","TARAUACÁ",5371643,"UNIDADE MOVEL DE SAUDE FLUVIAL DEZINHO",4633,2728,0.59
"58","AC","120070","XAPURI",424390,"UNIDADE DE SAUDE DA FAMILIA SERINGAL CACHOEIRA",333,138,0.41
"59","AC","120080","PORTO ACRE",3323307,"UNIDADE DE SAUDE DA FAMILIA ALVARO ARAUJO NOBRE",1667,531,0.32
"60","AC","120001","ACRELÂNDIA",3006166,"UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN",4515,1099,0.24
"61","AC","120010","BRASILÉIA",2001454,"ESF SIMAO MANSOU BARTHA",3935,1125,0.29
"62","AC","120010","BRASILÉIA",2001462,"ESF DR RICARDO BARBOSA DA SILVA",1929,725,0.38
"63","AC","120013","BUJARI",2002876,"CENTRO DE SAUDE RAIMUNDA PORFIRIO DE BRITO RAMOS",6272,1447,0.23
"64","AC","120013","BUJARI",3516822,"USF ANTIMARY",2202,510,0.23
"65","AC","120020","CRUZEIRO DO SUL",2000318,"UNIDADE DA SAUDE DA FAMILIA PASTOR JOAO BRAZ",4958,1234,0.25
"66","AC","120020","CRUZEIRO DO SUL",7375913,"UNIDADE DE SAUDE DA CLOVIS PINHEIRO ROSAS",1663,681,0.41
"67","AC","120025","EPITACIOLÂNDIA",6634230,"ESF JOSE PAULO DE SOUZA",3454,820,0.24
"68","AC","120025","EPITACIOLÂNDIA",2001314,"ESF JOAO ALVES DA SILVA",2229,530,0.24
"69","AC","120025","EPITACIOLÂNDIA",2003090,"ESF SUELLEN DE LIMA CASTELO",1668,488,0.29
"70","AC","120030","FEIJÓ",2000040,"CENTRO DE SAUDE DIAMANTINO MACEDO",3099,1105,0.36
"71","AC","120033","MÂNCIO LIMA",2000105,"U S F QUINTINO RIO BRANCO LEBRE",3506,1156,0.33
"72","AC","120034","MANOEL URBANO",2000954,"UNIDADE DE SAUDE INACIO RIBEIRO DA SILVA",5812,1843,0.32
"73","AC","120040","RIO BRANCO",6119697,"URAP ROZANGELA PIMENTEL FIGUEIRA",8149,1695,0.21
"74","AC","120040","RIO BRANCO",2003198,"URAP MARIA BARROSO DA SILVA",13328,2197,0.16
"75","AC","120040","RIO BRANCO",3015513,"USF FRANCISCA BARBOSA GUERRA",2660,475,0.18
"76","AC","120040","RIO BRANCO",2000806,"USF DOUTOR MARIO MAIA",5415,904,0.17
"77","AC","120040","RIO BRANCO",7818092,"USF MANOEL BEZERRA",9202,2845,0.31
"78","AC","120040","RIO BRANCO",2001829,"USF BENFICA",4380,979,0.22
"79","AC","120040","RIO BRANCO",2001853,"USF NADEZIR DA SILVA DE LIMA",3690,604,0.16
"80","AC","120040","RIO BRANCO",2000814,"USF FRANCISCO EDUARDO DE PAIVA",4863,846,0.17
"81","AC","120040","RIO BRANCO",2002809,"USF ROSA MARIA",2850,345,0.12
"82","AC","120042","RODRIGUES ALVES",9402713,"UNIDADE BASICA NOEMI DO CARMO MATOS",957,563,0.59
"83","AC","120043","SANTA ROSA DO PURUS",6596657,"PSF MOVEL DE SANTA ROSA DO PURUS",656,193,0.29
"84","AC","120045","SENADOR GUIOMARD",9294449,"UNIDADE BASICA DE SAUDE PEDRO RABELO DE LIMA",2055,609,0.3
"85","AC","120045","SENADOR GUIOMARD",6607861,"UNIDADE DE SAUDE DA FAMILIA MIGUEL SEVERINO DE OLIVEIRA",1853,705,0.38
"86","AC","120050","SENA MADUREIRA",9393757,"UNIDADE BASICA DE SAUDE CARLOS AFONSO VIEIRA MODULO II",2793,932,0.33
"87","AC","120070","XAPURI",423335,"UNIDADE DE SAUDE DA FAMILIA SERINGAL ASSENTAMENTO TUPA",420,145,0.35
"88","AC","120080","PORTO ACRE",2000504,"UNIDADE DE SAUDE DA FAMILIA ILDA BARBOSA DE SOUZA",3834,941,0.25
"89","AC","120005","ASSIS BRASIL",7436440,"UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA",3538,1155,0.33
"90","AC","120017","CAPIXABA",5086949,"UNIDADE DE SAUDE DA FAMILIA DA ALCOBRAS",952,297,0.31
"91","AC","120017","CAPIXABA",6192084,"UNIDADE DE SAUDE DA FAMILIA RAIMUNDO RODRIGUES LUSTOSA",1201,377,0.31
"92","AC","120020","CRUZEIRO DO SUL",2000237,"UNIDADE DE SAUDE DA FAMILIA J LINS",8604,2272,0.26
"93","AC","120020","CRUZEIRO DO SUL",2000571,"UNIDADE DE SAUDE DA FAMILIA GERALDO MAIA",2657,903,0.34
"94","AC","120020","CRUZEIRO DO SUL",5710111,"UNIDADE DE SAUDE DA FAMILIA NESTOR SOARES DE VASCONCELOS",4904,1477,0.3
"95","AC","120020","CRUZEIRO DO SUL",2000555,"UNIDADE BASICA DE SAUDE PENTECOSTES",1630,604,0.37
"96","AC","120020","CRUZEIRO DO SUL",2000628,"UNIDADE DE SAUDE DA FAMILIA OSMAR D ALBUQUERQUE LIMA",3084,893,0.29
"97","AC","120025","EPITACIOLÂNDIA",2832798,"UNIDADE DE SAUDE ALBERTO FLORENCIO DA SILVA",214,75,0.35
"98","AC","120033","MÂNCIO LIMA",9542566,"UBS RAIMUNDO REGINALDO DE ALMEIDA",2594,947,0.37
"99","AC","120035","MARECHAL THAUMATURGO",9076867,"ACADEMIA DE SAUDE DE MARECHAL THAUMATURGO",0,NA,NA
"100","AC","120035","MARECHAL THAUMATURGO",3591018,"ESF RIBEIRINHA ROSENDO RODRIGUES",2303,911,0.4
"101","AC","120035","MARECHAL THAUMATURGO",2002132,"ESF RIBEIRINHA DR NALDIR MARIANO",4421,1531,0.35
"102","AC","120038","PLÁCIDO DE CASTRO",2002930,"U S F MARIA DE FATIMA FERREIRA DE PAULA",3906,800,0.2
"103","AC","120038","PLÁCIDO DE CASTRO",5360064,"U S F RAIMUNDO NONATO DE SOUZA MARQUES",1397,376,0.27
"104","AC","120040","RIO BRANCO",2003252,"USF RECANTO DOS BURITIS I",4716,1138,0.24
"105","AC","120040","RIO BRANCO",7060394,"USF AGRIPINA LINDOSO",1546,373,0.24
"106","AC","120042","RODRIGUES ALVES",7240155,"UNIDADE BASICA EUTALIA PAULA OLIVEIRA",4959,2150,0.43
"107","AC","120045","SENADOR GUIOMARD",2000660,"CENTRO DE SAUDE MARIA DO SOCORRO CAVALCANTE",4947,1554,0.31
"108","AC","120050","SENA MADUREIRA",9309535,"SAUDE PRISIONAL TENENTE ITAMAR PASCOAL",508,166,0.33
"109","AC","120050","SENA MADUREIRA",2000881,"UNIDADE BASICA DE SAUDE CARLOS AFONSO VIEIRA",3463,924,0.27
"110","AC","120050","SENA MADUREIRA",5981891,"UNIDADE BASICA DE SAUDE MODULO I",2561,1203,0.47
"111","AC","120050","SENA MADUREIRA",5981913,"UNIDADE BASICA DE SAUDE MODULO II",2692,1236,0.46
"112","AC","120050","SENA MADUREIRA",2000903,"UNIDADE BASICA DE SAUDE FLORLIRIO PEREIRA LUSTOSA",3014,1098,0.36
"113","AC","120050","SENA MADUREIRA",7617852,"UNIDADE BASICA DE SAUDE JOVILIO ALVES",1413,609,0.43
"114","AC","120050","SENA MADUREIRA",7617496,"UNIDADE BASICA DE SAUDE ALDA SIQUEIRA",2202,1051,0.48
"115","AC","120070","XAPURI",2001225,"UNIDADE DE SAUDE DA FAMILIA JOSE FRANCISCO SILVA",3301,1244,0.38
"116","AC","120070","XAPURI",2000407,"UNIDADE DE SAUDE DA FAMILIA DR FELIX BESTENE NETO",6008,1794,0.3
"117","AC","120080","PORTO ACRE",2001101,"UNIDADE DE SAUDE DA FAMILIA RAIMUNDA BITENCOURT DA SILVA",5228,1215,0.23
"118","AC","120001","ACRELÂNDIA",5403669,"UNIDADE DE SAUDE DA FAMILIA REDENCAO",1422,462,0.32
"119","AC","120020","CRUZEIRO DO SUL",2000202,"UNIDADE DE SAUDE DA FAM SENADOR ADALBERTO SENA",7468,1697,0.23
"120","AC","120020","CRUZEIRO DO SUL",7560141,"UNIDADE BASICA DE SAUDE FRANCISCA SOUZA MACHADO",1761,706,0.4
"121","AC","120020","CRUZEIRO DO SUL",7915241,"UNIDADE DE SAUDE DA FAMILIA BOCA DO MOA ARITO ROSAS",1469,647,0.44
"122","AC","120025","EPITACIOLÂNDIA",2001322,"ESF JOSE FRANCISCO DO NASCIMENTO",3235,875,0.27
"123","AC","120025","EPITACIOLÂNDIA",2003147,"ESF MANOEL ARAUJO DA COSTA",2401,418,0.17
"124","AC","120032","JORDÃO",7123043,"SAUDE DA FAMILIA RIBEIRINHA",2330,734,0.32
"125","AC","120033","MÂNCIO LIMA",2002221,"U S F FRANCISCO ALENCAR",1916,788,0.41
"126","AC","120034","MANOEL URBANO",2000962,"UNIDADE DE SAUDE JOSEFA NUNES",3491,1062,0.3
"127","AC","120038","PLÁCIDO DE CASTRO",3595943,"U S F FRANCISCO DE CASTRO",3067,637,0.21
"128","AC","120038","PLÁCIDO DE CASTRO",5493455,"U S F MARIO GOMES DA SILVA",1785,495,0.28
"129","AC","120040","RIO BRANCO",2000415,"URAP SAO FRANCISCO",8499,1945,0.23
"130","AC","120040","RIO BRANCO",3331911,"USF ANA ROSA ZONA RURAL",2152,460,0.21
"131","AC","120040","RIO BRANCO",3015556,"USF MARIA DA CONCEICAO",2963,599,0.2
"132","AC","120040","RIO BRANCO",3331946,"USF MARIA SEBASTIANA",3594,750,0.21
"133","AC","120050","SENA MADUREIRA",3007367,"UNIDADE BASICA DE SAUDE AGUINALDO NUNES DE OLIVEIRA",4111,1413,0.34
"134","AC","120050","SENA MADUREIRA",7617437,"UNIDADE BASICA DE SAUDE COSMO GEBER",1750,650,0.37
"135","AC","120060","TARAUACÁ",2000113,"UNIDADE DE SAUDE DA FAMILIA MARILIA VIEIRA LIMA DE SOUZA",2614,1200,0.46
"136","AC","120060","TARAUACÁ",3900975,"USF MARIA FRANCISCA DA COSTA CABRAL",3575,1409,0.39
"137","AC","120070","XAPURI",2001934,"UNIDADE DE SAUDE DA FAMILIA JOSE RAIMUNDO DE MELO",3219,896,0.28
"138","AC","120080","PORTO ACRE",2001128,"UNIDADE DE SAUDE DA FAMILIA MARIA SOLEDADE SOARES GADELHA",3933,1233,0.31
"139","AC","120020","CRUZEIRO DO SUL",2000261,"UNIDADE DE SAUDE DA FAMILIA PROF QUITA",5274,1671,0.32
"140","AC","120020","CRUZEIRO DO SUL",7561113,"UNIDADE BASICA DE SAUDE EUCLIDES QUEIROS FILHO",1993,869,0.44
"141","AC","120020","CRUZEIRO DO SUL",2000369,"UNIDADE DA SAUDE DA FAM JOSE MATHEUS ARNALDO DOS SANTOS",3138,1326,0.42
"142","AC","120020","CRUZEIRO DO SUL",2000598,"UNIDADE BASICA DE SAUDE GEOVANA MARIA FREITAS DO VALE",3380,1347,0.4
"143","AC","120030","FEIJÓ",3544915,"UNIDADE DE SAUDE DA FAMILIA DULCE DE ARAUJO ANDRADE SENA",1621,542,0.33
"144","AC","120032","JORDÃO",9516530,"UNIDADE DE SAUDE DA FAMILIA MARIA LIMA SOUZA ARAGAO",1339,399,0.3
"145","AC","120038","PLÁCIDO DE CASTRO",5360080,"U S F CECILIA SANTANA DE MENEZES SEVERINO",1096,357,0.33
"146","AC","120039","PORTO WALTER",7959087,"UBS MAURICIO PINHEIRO DE OLIVEIRA",2999,1204,0.4
"147","AC","120040","RIO BRANCO",2000075,"POLICLINICA BARRAL Y BARRAL",3,0,0
"148","AC","120040","RIO BRANCO",2000741,"URAP ARY RODRIGUES",2819,685,0.24
"149","AC","120040","RIO BRANCO",2003171,"USF MARIA AUREA VILELA",7331,1073,0.15
"150","AC","120040","RIO BRANCO",3752259,"USF NIMEO INSFRAN MARTINEZ",5837,740,0.13
"151","AC","120040","RIO BRANCO",2002779,"USF SEBASTIANA PRADO ZONA RURAL",2720,889,0.33
"152","AC","120040","RIO BRANCO",7547153,"USF MAXIMO DIOGO I",6650,1176,0.18
"153","AC","120040","RIO BRANCO",2003228,"USF ANTENOR RAMOS I",5711,1212,0.21
"154","AC","120040","RIO BRANCO",117382,"USF LIDIA RODRIGUES",1124,397,0.35
"155","AC","120040","RIO BRANCO",3331792,"USF MARIA VERONICA",6217,956,0.15
"156","AC","120042","RODRIGUES ALVES",818704,"UNIDADE BASICA DE SAUDE LUZEIRO",230,139,0.6
"157","AC","120050","SENA MADUREIRA",2000873,"UNIDADE BASICA DE SAUDE EDSON SALES",3282,1131,0.34
"158","AC","120060","TARAUACÁ",2000156,"UNIDADE BASICA DE SAUDE JOAO WANDERLEI",6936,3872,0.56
"159","AC","120060","TARAUACÁ",3901009,"UNIDADE DE SAUDE DA FAMILIA 24 DE ABRIL",3885,1550,0.4
"160","AC","120001","ACRELÂNDIA",257184,"UNIDADE BASICA DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES",1098,318,0.29
"161","AC","120005","ASSIS BRASIL",2003066,"UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS",3490,1027,0.29
"162","AC","120017","CAPIXABA",2002906,"CENTRO DE SAUDE IDELFONSO CORDEIRO DE ANDRADE",3202,870,0.27
"163","AC","120017","CAPIXABA",9946691,"UNIDADE DE SAUDE FRANCISCO ANTONIO DE LIMA",1863,762,0.41
"164","AC","120017","CAPIXABA",2001039,"UNIDADE DE SAUDE DA FAMILIA DR LUIZ FERNANDO MAGALHAES",4021,1077,0.27
"165","AC","120020","CRUZEIRO DO SUL",7139454,"UNIDADE DE SAUDE DA FAMILIA FLUVIAL MARIETA CAMELI",2888,1434,0.5
"166","AC","120020","CRUZEIRO DO SUL",2000601,"UNIDADE DE SAUDE DA FAMILIA MANOEL RODRIGUES DE ARAUJO",1441,490,0.34
"167","AC","120030","FEIJÓ",924490,"UNIDADE MOVEL DE SAUDE FLUVIAL PEDRO RODRIGUES CAVALCANTE",4363,2220,0.51
"168","AC","120030","FEIJÓ",2000059,"U S F MARIA ALICE",3201,1343,0.42
"169","AC","120030","FEIJÓ",6934013,"U S F DR JOSE LUIZ DE SOUZA",3229,1386,0.43
"170","AC","120030","FEIJÓ",7014147,"U S F ANTONIO DOMINGOS RODRIGUES",1861,760,0.41
"171","AC","120033","MÂNCIO LIMA",7168748,"USF WILSON BATISTA SIQUEIRA",2212,859,0.39
"172","AC","120040","RIO BRANCO",2003058,"USF LUIZ GONZAGA I",6698,1519,0.23
"173","AC","120040","RIO BRANCO",3015548,"USF PLATILDE OLIVEIRA I",12749,3172,0.25
"174","AC","120040","RIO BRANCO",3331881,"USF FRANCISCO CAETANO DA SILVA",3101,403,0.13
"175","AC","120040","RIO BRANCO",7120680,"USF ELPIDIO MOREIRA SOUZA",4109,933,0.23
"176","AC","120040","RIO BRANCO",7565534,"USF LUANA FREITAS I",8314,1343,0.16
"177","AC","120040","RIO BRANCO",755605,"USF BARRO VERMELHO",1226,271,0.22
"178","AC","120040","RIO BRANCO",2002701,"USF MARIA SOFIA",2210,455,0.21
"179","AC","120040","RIO BRANCO",7120710,"USF TRIANGULO NOVO",1452,343,0.24
"180","AC","120042","RODRIGUES ALVES",2000016,"UNIDADE BASICA PADRE TEODORO ARNDS",3534,1221,0.35
"181","AC","120045","SENADOR GUIOMARD",5250587,"CENTRO DE SAUDE ILSON ALVES RIBEIRO",3070,1183,0.39
"182","AC","120050","SENA MADUREIRA",6992811,"UNIDADE BASICA DE SAUDE MANOEL FERNANDES VIEIRA",3522,1316,0.37
"183","AC","120050","SENA MADUREIRA",3449432,"UNIDADE BASICA DE SAUDE FLORIANO FLORENTINO M DA SILVA",2281,861,0.38
"184","AC","120050","SENA MADUREIRA",7617488,"UNIDADE BASICA DE SAUDE RECIFE",2618,958,0.37
"185","AC","120001","ACRELÂNDIA",3393984,"UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA",3361,716,0.21
"186","AC","120010","BRASILÉIA",2001349,"ESF TUFIC MIZAEL SAADY",3156,508,0.16
"187","AC","120010","BRASILÉIA",2001470,"ESF FRANCISCO DE ASSIS",3155,1039,0.33
"188","AC","120010","BRASILÉIA",9948759,"ESF RAIMUNDA ANTONIA DE ARAUJO CARNEIRO LIMA",3442,1333,0.39
"189","AC","120020","CRUZEIRO DO SUL",2000342,"UNIDADE DE SAUDE DA FAMILIA ABEL PINHEIRO",6381,1760,0.28
"190","AC","120020","CRUZEIRO DO SUL",2000334,"UNIDADE DA SAUDE DA FAM FRANCISCO ARY DA SILVEIRA",5887,1585,0.27
"191","AC","120020","CRUZEIRO DO SUL",2002299,"UNIDADE DE SAUDE ADALTO JOSE BATISTA",1718,760,0.44
"192","AC","120025","EPITACIOLÂNDIA",2001330,"CENTRO DE SAUDE JOSE CANDIDO DE MESQUITA",3743,1180,0.32
"193","AC","120030","FEIJÓ",2000067,"U S F FRANCISCA LIMA",1918,690,0.36
"194","AC","120030","FEIJÓ",7797494,"U S F FLORINDA VIEIRA DA COSTA",1273,618,0.49
"195","AC","120035","MARECHAL THAUMATURGO",9014896,"USF RAIMUNDO GOMES DE AZEVEDO",3312,1304,0.39
"196","AC","120035","MARECHAL THAUMATURGO",3590992,"ESF RIBEIRINHA LUIZ FONTINELI",2849,1174,0.41
"197","AC","120038","PLÁCIDO DE CASTRO",2000989,"U S F DOLORES SILVA VALENTIN",2089,455,0.22
"198","AC","120040","RIO BRANCO",2001810,"USF MARIA DE JESUS I",7447,1976,0.27
"199","AC","120040","RIO BRANCO",7799632,"URAP VALDEISA VALDEZ",5403,1143,0.21
"200","AC","120040","RIO BRANCO",2000466,"COMPLEXO PENITENCIARIO DE RIO BRANCO",1316,189,0.14
"201","AC","120040","RIO BRANCO",2000490,"URAP FRANCISCO RONEY RODRIGUES MEIRELES",8874,1895,0.21
"202","AC","120040","RIO BRANCO",2000482,"URAP VILA IVONETE",10501,1502,0.14
"203","AC","120040","RIO BRANCO",2001713,"CENTRO DE SAUDE DEUSIMAR PINHEIRO DA SILVA",6041,923,0.15
"204","AC","120040","RIO BRANCO",2000520,"URAP FRANCISCO BACURAU VIEIRA NUNES",1997,471,0.24
"205","AC","120040","RIO BRANCO",2306379,"USF FRANCISCO CONSTANCIO DA SILVA",3896,902,0.23
"206","AC","120040","RIO BRANCO",3331776,"USF DR RAIMUNDO MOREIRA",5265,957,0.18
"207","AC","120040","RIO BRANCO",2003031,"USF VITORIA I",9471,2236,0.24
"208","AC","120040","RIO BRANCO",2001012,"USF MOCINHA MAGALHAES",3684,743,0.2
"209","AC","120040","RIO BRANCO",2003015,"USF JOSE GOMES DE OLIVEIRA",2754,634,0.23
"210","AC","120040","RIO BRANCO",3331806,"USF RAIMUNDA DIONIZIO",5809,1470,0.25
"211","AC","120040","RIO BRANCO",7110065,"USF GENTIL PERDOMO DA ROCHA",10188,1259,0.12
"212","AC","120040","RIO BRANCO",3054926,"USF JOSE ADRIANO",3154,388,0.12
"213","AC","120042","RODRIGUES ALVES",43303,"UNIDADE BASICA JOAO SANTOS DE ALENCAR",2383,1353,0.57
"214","AC","120043","SANTA ROSA DO PURUS",499919,"UNIDADE BASICA DE SAUDE MANDUCA KULINA",1273,493,0.39
"215","AC","120045","SENADOR GUIOMARD",2000679,"UNIDADE S DA F FRANCISCO TAVEIRA",3393,1066,0.31
"216","AC","120070","XAPURI",2001233,"UNIDADE DE SAUDE DA FAMILIA MAURO JOSE LIMA DE SOUZA",1589,491,0.31
"217","AL","270010","ÁGUA BRANCA",2008629,"POSTO DE SAUDE DO ESTREITO",2031,898,0.44
"218","AL","270020","ANADIA",3117987,"USF ISAURO FAUSTINO BARBOSA",2389,936,0.39
"219","AL","270030","ARAPIRACA",2004860,"UBS VILA SAO JOSE",3467,1167,0.34
"220","AL","270040","ATALAIA",2008017,"UNIDADE SAUDE DA FAMILIA JENIPAPEIRO",1871,761,0.41
"221","AL","270050","BARRA DE SANTO ANTÔNIO",2004526,"UNIDADE BASICA DE SAUDE SANTA LUZIA",2689,1228,0.46
"222","AL","270050","BARRA DE SANTO ANTÔNIO",6591590,"UNIDADE BASICA DE SAUDE NORMANDO BARBOSA OLIVEIRA",3048,1450,0.48
"223","AL","270060","BARRA DE SÃO MIGUEL",6800114,"UNIDADE DE SAUDE DA FAMILIA I",3110,856,0.28
"224","AL","270070","BATALHA",2011093,"CENTRO DE SAUDE MUNICIPAL DR ITAMAR CIRYNO",2744,755,0.28
"225","AL","270070","BATALHA",9649204,"EQUIPE SAUDE DA FAMILIA ESF II",3022,1316,0.44
"226","AL","270070","BATALHA",9412964,"EQUIPE SAUDE DA FAMILIA ESF VI",2596,844,0.33
"227","AL","270100","BOCA DA MATA",2011700,"UBS MARIA GENURA DE AMORIM DAMASO",2657,978,0.37
"228","AL","270170","CAPELA",2719029,"PSF 001",2516,1115,0.44
"229","AL","270170","CAPELA",2719118,"PSF 004",1312,629,0.48
